xmin,ymin,xmax,ymax,label,confidence
18,66,43,89,97,0.9690651297569275
173,221,199,245,89,0.9282503724098206
108,93,133,117,68,0.9118295907974243
193,2,223,27,33,0.9899578094482422
97,127,122,151,30,0.9717341065406799
0,0,0,0,0,-1.0
233,2,255,20,135,0.45671460032463074
193,2,223,28,123,0.6707463264465332
18,67,42,90,97,0.9669533967971802
173,222,198,245,89,0.8042619824409485
107,93,134,116,68,0.8192548751831055
193,2,223,28,33,0.959087610244751
98,127,123,151,30,0.9803520441055298
0,0,0,0,0,-1.0
233,2,255,19,135,0.47132936120033264
19,67,42,91,97,0.9447652101516724
173,222,199,246,89,0.7836737036705017
39,14,66,43,86,0.25244030356407166
107,93,132,116,68,0.8464928865432739
194,2,223,27,33,0.9160066843032837
38,15,67,44,32,0.443254679441452
98,127,124,151,30,0.97953861951828
0,0,0,0,0,-1.0
192,218,218,245,141,0.36955204606056213
232,2,255,19,135,0.4752180576324463
18,67,43,91,97,0.966391921043396
173,221,198,246,89,0.325939416885376
39,13,67,43,86,0.2983892560005188
190,210,214,235,79,0.5397920608520508
106,92,132,116,68,0.7998450994491577
194,2,224,27,33,0.8645519614219666
38,15,67,44,32,0.5583832263946533
98,127,125,151,30,0.9745721817016602
0,0,0,0,0,-1.0
232,2,255,19,135,0.49727702140808105
19,68,43,93,97,0.9842556118965149
173,222,200,246,89,0.4609537422657013
38,14,66,43,86,0.47311708331108093
106,92,132,115,68,0.8809399008750916
193,2,224,27,33,0.9094619154930115
99,127,126,151,30,0.9579753875732422
0,0,0,0,0,-1.0
233,2,255,19,135,0.4780426621437073
18,68,43,94,97,0.9821810722351074
172,223,199,250,89,0.27248141169548035
38,15,66,43,86,0.4742598533630371
189,209,213,235,79,0.3136986196041107
106,91,131,115,68,0.7866349220275879
193,2,223,27,33,0.9913073182106018
99,127,126,151,30,0.9848560690879822
198,220,218,245,15,0.727904200553894
0,0,0,0,0,-1.0
233,1,255,18,145,0.2501491606235504
233,2,255,19,135,0.438768595457077
18,69,42,93,97,0.9852566719055176
173,220,204,253,89,0.4359639286994934
38,15,65,42,86,0.5058750510215759
190,210,214,236,79,0.29455241560935974
106,91,131,115,68,0.8224539160728455
193,2,223,26,33,0.9935312867164612
100,126,126,151,30,0.9882581830024719
198,220,220,245,15,0.6958734393119812
0,0,0,0,0,-1.0
233,2,255,20,135,0.43274354934692383
191,2,222,28,123,0.3372592329978943
18,69,42,94,97,0.9573019742965698
39,16,65,42,86,0.4039723575115204
190,210,214,235,79,0.4526480734348297
104,90,130,114,68,0.7626364827156067
193,2,222,27,33,0.9932640194892883
100,126,126,150,30,0.9704673290252686
198,220,219,245,15,0.7103531956672668
0,0,0,0,0,-1.0
233,2,255,20,135,0.44891297817230225
191,2,222,28,123,0.35680896043777466
18,70,42,95,97,0.9868886470794678
38,16,64,43,86,0.45573151111602783
190,210,214,235,79,0.3434658944606781
104,90,129,114,68,0.8740134835243225
193,2,222,28,33,0.9951353669166565
101,126,127,149,30,0.9765182137489319
199,221,220,246,15,0.7145582437515259
0,0,0,0,0,-1.0
233,2,255,19,135,0.4774770736694336
19,70,42,95,97,0.9709770083427429
174,222,203,252,89,0.43729168176651
38,16,63,44,86,0.3062373399734497
191,209,215,236,79,0.6599898338317871
104,90,129,113,68,0.8042901158332825
194,2,222,27,33,0.9320076107978821
101,126,127,150,30,0.9266493320465088
200,221,221,246,15,0.7705305218696594
0,0,0,0,0,-1.0
233,2,255,20,135,0.4807308614253998
18,71,42,96,97,0.9770674109458923
174,223,204,252,89,0.4594840109348297
38,15,64,44,86,0.33990392088890076
190,209,215,235,79,0.4593706727027893
103,89,129,113,68,0.8176780343055725
194,2,223,26,33,0.7421329617500305
